country,code,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),Health: Total expenditure (% of GDP),Seats held by women in national parliaments %,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
equatorial guinea,GNQ,28052,1268,45.2,124,13812,-7.4,16344.1,1.2,73.1,25.7,117,118,4.2,39.9,3.1,3.8,24,177,56.3,841,87
eritrea,ERI,117600,5069,50.2,100.4,4783,4.8,914.9,17.2,23.5,59.3,109,109,2,22.6,5.1,3.3,22,122,15,27,7
estonia,EST,45227,1310,30.9,88.2,22460,1.4,17112,3.4,27.4,69.2,136,136,-0.3,67.5,-0.4,6.4,26.7,23,52.7,242,193
ethiopia,ETH,1104300,104957,105,99.7,59917,9.6,602.8,40.5,16,43.5,158,157,2.6,19.5,4.9,4.9,38.8,148,12.5,1308,15
falkland islands (malvinas),FLK,12173,3,0.2,110.5,,,,,,,96,105,0.3,76.2,1,,,23,0,0,257
faroe islands,FRO,1393,49,35.3,107.2,,,,,,,102,102,0.2,42,0.5,,,21,0.1,1,182
fiji,FJI,18272,906,49.6,103.1,4391,3.6,4921.9,11.3,18.1,70.7,88,88,0.7,53.7,1.5,4.5,16,291,55.4,8,26
finland,FIN,338440,5523,18.2,97.2,231960,0.2,42148.1,2.5,26.8,70.6,101,101,0.4,84.2,0.5,9.7,42,36,73.1,757,257
france,FRA,551500,64980,118.7,96.7,2418946,1.3,36304.2,1.7,19.5,78.8,103,103,0.4,79.5,0.8,11.5,25.8,278,30.8,5694,158
french guiana,GUF,83534,283,3.4,100,,,,,,,120,120,2.8,84.4,2.8,,,73,98.9,3,50
